origin_zone,dest_zone,location_desc
30201102604,30302105812,Goodwill Bridge WB
30201102617,30302105802,Goodwill Bridge WB
30202103217,30305107612,Goodwill Bridge WB
30202103422,30403109615,Goodwill Bridge WB
30403109715,30502111512,Goodwill Bridge WB
30404110303,30302105820,Goodwill Bridge WB
30404110303,30501111001,Goodwill Bridge WB
30501110519,30501111001,Goodwill Bridge WB
30501110531,30101100420,Goodwill Bridge WB
30501110531,30304107111,Goodwill Bridge WB
30501110531,30502111510,Goodwill Bridge WB
30501110538,30303106032,Goodwill Bridge WB
30501111101,30302105605,Goodwill Bridge WB
30501111115,30302105208,Goodwill Bridge WB
30501111115,30302105928,Goodwill Bridge WB
30503112620,30302105812,Goodwill Bridge WB
30503112620,30303106523,Goodwill Bridge WB
30503112904,30304107008,Goodwill Bridge WB
30503112905,30305107631,Goodwill Bridge WB
30504113225,30305107327,Goodwill Bridge WB
30504113230,30301105129,Goodwill Bridge WB
30504113230,30501111001,Goodwill Bridge WB
30504113512,30302105815,Goodwill Bridge WB
30504113523,30101100614,Goodwill Bridge WB
30504113708,30501111001,Goodwill Bridge WB
30504113717,30302105533,Goodwill Bridge WB
