origin_zone,dest_zone,location_desc
30101100111,30203103603,Sir Leo Hielscher Bridge (Gateway Motorway)
30101100122,30203103708,Sir Leo Hielscher Bridge (Gateway Motorway)
30101100124,30203103708,Sir Leo Hielscher Bridge (Gateway Motorway)
30101100141,30202102820,Sir Leo Hielscher Bridge (Gateway Motorway)
30101100306,30202103220,Sir Leo Hielscher Bridge (Gateway Motorway)
30101100306,30203103708,Sir Leo Hielscher Bridge (Gateway Motorway)
30101100316,30203103603,Sir Leo Hielscher Bridge (Gateway Motorway)
30101100316,30203103708,Sir Leo Hielscher Bridge (Gateway Motorway)
30101100422,30203103603,Sir Leo Hielscher Bridge (Gateway Motorway)
30101100423,30203103603,Sir Leo Hielscher Bridge (Gateway Motorway)
30101100423,30203103815,Sir Leo Hielscher Bridge (Gateway Motorway)
30101100430,30203103603,Sir Leo Hielscher Bridge (Gateway Motorway)
30101100447,30203103701,Sir Leo Hielscher Bridge (Gateway Motorway)
30101100609,30203103603,Sir Leo Hielscher Bridge (Gateway Motorway)
30101100617,30203103505,Sir Leo Hielscher Bridge (Gateway Motorway)
30102100710,30503112403,Sir Leo Hielscher Bridge (Gateway Motorway)
30102100718,30503112513,Sir Leo Hielscher Bridge (Gateway Motorway)
30102100718,30503113123,Sir Leo Hielscher Bridge (Gateway Motorway)
30102100804,30203103708,Sir Leo Hielscher Bridge (Gateway Motorway)
30102100901,30203103708,Sir Leo Hielscher Bridge (Gateway Motorway)
30102100917,30503112505,Sir Leo Hielscher Bridge (Gateway Motorway)
30102100936,30202102830,Sir Leo Hielscher Bridge (Gateway Motorway)
30102100936,30203103808,Sir Leo Hielscher Bridge (Gateway Motorway)
30102101232,30203103708,Sir Leo Hielscher Bridge (Gateway Motorway)
30102101247,30203103701,Sir Leo Hielscher Bridge (Gateway Motorway)
30102101301,30203103603,Sir Leo Hielscher Bridge (Gateway Motorway)
30103101518,30503112403,Sir Leo Hielscher Bridge (Gateway Motorway)
30103101620,30202103110,Sir Leo Hielscher Bridge (Gateway Motorway)
30103101918,30202103011,Sir Leo Hielscher Bridge (Gateway Motorway)
30103102108,30503112614,Sir Leo Hielscher Bridge (Gateway Motorway)
30103102130,30203103603,Sir Leo Hielscher Bridge (Gateway Motorway)
30301104804,30202103225,Sir Leo Hielscher Bridge (Gateway Motorway)
30301104804,30203103603,Sir Leo Hielscher Bridge (Gateway Motorway)
30301104804,30203103708,Sir Leo Hielscher Bridge (Gateway Motorway)
30301104913,30201102414,Sir Leo Hielscher Bridge (Gateway Motorway)
30301104913,30503113122,Sir Leo Hielscher Bridge (Gateway Motorway)
30302105310,30203103603,Sir Leo Hielscher Bridge (Gateway Motorway)
30302105327,30203103603,Sir Leo Hielscher Bridge (Gateway Motorway)
30303106221,30204104601,Sir Leo Hielscher Bridge (Gateway Motorway)
30303106416,30202102822,Sir Leo Hielscher Bridge (Gateway Motorway)
30502111310,30203103603,Sir Leo Hielscher Bridge (Gateway Motorway)
