origin_zone,dest_zone,location_desc
30101100423,30403109405,Eleanor Schonell Bridge (UQ Green Bridge)
30102100803,30403109615,Eleanor Schonell Bridge (UQ Green Bridge)
30102101232,30403109610,Eleanor Schonell Bridge (UQ Green Bridge)
30202103422,30403109615,Eleanor Schonell Bridge (UQ Green Bridge)
30302105206,30403109615,Eleanor Schonell Bridge (UQ Green Bridge)
30302105406,30403109615,Eleanor Schonell Bridge (UQ Green Bridge)
30302105928,30403109615,Eleanor Schonell Bridge (UQ Green Bridge)
30304106701,30403109615,Eleanor Schonell Bridge (UQ Green Bridge)
30304106801,30504113715,Eleanor Schonell Bridge (UQ Green Bridge)
30502111308,30403109615,Eleanor Schonell Bridge (UQ Green Bridge)
30503112103,30403109615,Eleanor Schonell Bridge (UQ Green Bridge)
