origin_zone,dest_zone,location_desc
30101100102,30501110621,Story Bridge Western-side
30101100125,30501111105,Story Bridge Western-side
30101100431,30501110612,Story Bridge Western-side
30101100614,30503112613,Story Bridge Western-side
30102101232,30501110536,Story Bridge Western-side
30102101313,30501110541,Story Bridge Western-side
30103101824,30501110531,Story Bridge Western-side
30103102130,30501110612,Story Bridge Western-side
30301104808,30501110536,Story Bridge Western-side
30301105109,30501110601,Story Bridge Western-side
30302105306,30501110612,Story Bridge Western-side
30302105306,30501111105,Story Bridge Western-side
30302105712,30501111109,Story Bridge Western-side
30303106416,30503112614,Story Bridge Western-side
30304106801,30202103011,Story Bridge Western-side
30304106814,30501110621,Story Bridge Western-side
30304106912,30503112614,Story Bridge Western-side
30304107002,30202103004,Story Bridge Western-side
30304107016,30503112806,Story Bridge Western-side
30304107116,30501110621,Story Bridge Western-side
30306107809,30501111110,Story Bridge Western-side
30306107829,30501110621,Story Bridge Western-side
30502111308,30501110622,Story Bridge Western-side
30502111308,30501111109,Story Bridge Western-side
30502111503,30503113111,Story Bridge Western-side
30502111503,30504113230,Story Bridge Western-side
30502111702,30501110531,Story Bridge Western-side
