origin_zone,dest_zone,location_desc
30304106820,30401108409,Walter Taylor Bridge
30305107327,30403109435,Walter Taylor Bridge
30305107423,30402108910,Walter Taylor Bridge
30403109202,30402109001,Walter Taylor Bridge
30403109203,30503112403,Walter Taylor Bridge
30403109210,30202102812,Walter Taylor Bridge
30403109210,30402108708,Walter Taylor Bridge
30403109210,30403109416,Walter Taylor Bridge
30403109210,30501110531,Walter Taylor Bridge
30403109216,30403109615,Walter Taylor Bridge
30403109301,30402108717,Walter Taylor Bridge
30403109311,30403109430,Walter Taylor Bridge
30403109508,30403109430,Walter Taylor Bridge
30403109508,30501111026,Walter Taylor Bridge
30403109508,30504113707,Walter Taylor Bridge
