origin_zone,dest_zone,location_desc
30101100111,30501110531,Goodwill Bridge EB
30101100302,30501110531,Goodwill Bridge EB
30101100417,30504113731,Goodwill Bridge EB
30101100422,30501110531,Goodwill Bridge EB
30101100606,30501110531,Goodwill Bridge EB
30101100607,30504113505,Goodwill Bridge EB
30102100916,30504113731,Goodwill Bridge EB
30102101313,30501110530,Goodwill Bridge EB
30301105109,30501110531,Goodwill Bridge EB
30301105109,30501110537,Goodwill Bridge EB
30301105109,30504113612,Goodwill Bridge EB
30302105206,30501110536,Goodwill Bridge EB
30302105225,30501110541,Goodwill Bridge EB
30302105310,30501110519,Goodwill Bridge EB
30302105504,30503112620,Goodwill Bridge EB
30302105612,30501110519,Goodwill Bridge EB
30302105707,30503112904,Goodwill Bridge EB
30302105708,30501110530,Goodwill Bridge EB
30302105712,30503112904,Goodwill Bridge EB
30302105815,30504113512,Goodwill Bridge EB
30302105928,30501110531,Goodwill Bridge EB
30302105928,30501110536,Goodwill Bridge EB
30302105928,30501111115,Goodwill Bridge EB
30303106035,30503112613,Goodwill Bridge EB
30303106513,30501110534,Goodwill Bridge EB
30304106710,30501110541,Goodwill Bridge EB
30304106801,30501110536,Goodwill Bridge EB
30304106801,30501111101,Goodwill Bridge EB
30304106814,30501110531,Goodwill Bridge EB
30304106820,30501110541,Goodwill Bridge EB
30304106820,30501111103,Goodwill Bridge EB
30304107112,30501110508,Goodwill Bridge EB
30304107119,30501110530,Goodwill Bridge EB
30305107614,30501110531,Goodwill Bridge EB
30306107809,30504113505,Goodwill Bridge EB
30306107829,30501110531,Goodwill Bridge EB
30306107910,30504113225,Goodwill Bridge EB
30403109508,30501110519,Goodwill Bridge EB
30403109508,30501110531,Goodwill Bridge EB
30403109613,30501110513,Goodwill Bridge EB
30501111001,30501111115,Goodwill Bridge EB
30501111001,30504113505,Goodwill Bridge EB
30501111037,30404109804,Goodwill Bridge EB
30501111037,30504113419,Goodwill Bridge EB
