origin_zone,dest_zone,location_desc
30201102317,30103101701,Sir Leo Hielscher Bridge (Gateway Motorway)
30202102727,30101100125,Sir Leo Hielscher Bridge (Gateway Motorway)
30202103001,30103101801,Sir Leo Hielscher Bridge (Gateway Motorway)
30202103422,30301104814,Sir Leo Hielscher Bridge (Gateway Motorway)
30203103603,30101100609,Sir Leo Hielscher Bridge (Gateway Motorway)
30203103603,30103102014,Sir Leo Hielscher Bridge (Gateway Motorway)
30203103603,30303106613,Sir Leo Hielscher Bridge (Gateway Motorway)
30203103807,30301104814,Sir Leo Hielscher Bridge (Gateway Motorway)
30203103924,30103101701,Sir Leo Hielscher Bridge (Gateway Motorway)
30203103924,30502111409,Sir Leo Hielscher Bridge (Gateway Motorway)
30203103931,30103101701,Sir Leo Hielscher Bridge (Gateway Motorway)
30203104025,30102100728,Sir Leo Hielscher Bridge (Gateway Motorway)
30204104212,30103101701,Sir Leo Hielscher Bridge (Gateway Motorway)
30404110005,30103101711,Sir Leo Hielscher Bridge (Gateway Motorway)
30503113018,30103101701,Sir Leo Hielscher Bridge (Gateway Motorway)
30503113101,30103101701,Sir Leo Hielscher Bridge (Gateway Motorway)
