origin_zone,dest_zone,location_desc
30202102820,30502111518,Story Bridge Western-side
30203103807,30304107008,Story Bridge Western-side
30203103924,30305107401,Story Bridge Western-side
30204104401,30303106516,Story Bridge Western-side
30404110303,30103102031,Story Bridge Western-side
30501110531,30103101401,Story Bridge Western-side
30501110531,30502111718,Story Bridge Western-side
30501110536,30103102126,Story Bridge Western-side
30501110612,30302105315,Story Bridge Western-side
30501111109,30502111308,Story Bridge Western-side
30501111115,30101100203,Story Bridge Western-side
30501111115,30502111308,Story Bridge Western-side
30503112614,30302105526,Story Bridge Western-side
30503112905,30502111729,Story Bridge Western-side
30503113006,30302105805,Story Bridge Western-side
30503113014,30304106801,Story Bridge Western-side
