origin_zone,dest_zone,location_desc
30101100116,30501110926,Story Bridge Eastern-side
30101100204,30501110623,Story Bridge Eastern-side
30101100329,30503112825,Story Bridge Eastern-side
30101100403,30503112825,Story Bridge Eastern-side
30101100407,30501110623,Story Bridge Eastern-side
30301104804,30501110624,Story Bridge Eastern-side
30301105102,30503112825,Story Bridge Eastern-side
30302105504,30503111915,Story Bridge Eastern-side
30304106801,30503111915,Story Bridge Eastern-side
30304106814,30203103603,Story Bridge Eastern-side
30304106912,30503112416,Story Bridge Eastern-side
30304107112,30203103708,Story Bridge Eastern-side
30306107905,30203103708,Story Bridge Eastern-side
30502111503,30503112112,Story Bridge Eastern-side
